       table_name       | rls_enabled | policies | has_tenant_id 
------------------------+-------------+----------+---------------
 agent_builds           | t           |        4 | t
 agent_disk_metrics     | t           |        3 | t
 agent_evidence_logs    | t           |        2 | t
 agent_network_info     | t           |        1 | t
 agent_rollback_events  | t           |        2 | t
 agent_safe_mode_events | t           |        3 | t
 agent_web_activity     | t           |        2 | t
 agents                 | t           |        6 | t
 ai_action_logs         | t           |        4 | t
 ai_action_validations  | t           |        4 | t
 ai_insights            | t           |        4 | t
 anomaly_events         | t           |        1 | t
 antivirus_status       | t           |        4 | t
 api_keys               | t           |        4 | t
 api_request_logs       | t           |        4 | t
 audit_reason_trees     | t           |        1 | t
 blocked_websites       | t           |        2 | t
 compliance_policies    | t           |        3 | t
 custom_trials          | t           |        4 | t
 enrollment_keys        | t           |        5 | t
 failed_login_attempts  | t           |        4 | t
 governance_reports     | t           |        3 | t
 jobs                   | t           |        7 | t
 playbook_executions    | t           |        7 | t
 policy_assignments     | t           |        4 | t
 quarantined_files      | t           |        4 | t
 report_executions      | t           |        4 | t
 reports                | t           |        4 | t
 scheduled_jobs         | t           |        5 | t
 security_logs          | t           |        4 | t
 security_policies      | t           |        5 | t
 soc2_controls          | t           |        4 | t
 soc2_criteria          | t           |        4 | t
 software_inventory     | t           |        1 | t
 system_alerts          | t           |        4 | t
 tasks                  | t           |        6 | t
 tenant_action_policies | t           |        4 | t
 tenant_features        | t           |        4 | t
 tenant_settings        | t           |        4 | t
 tenant_subscriptions   | t           |        5 | t
 user_roles             | t           |        4 | t
 vendor_risk_registry   | t           |        4 | t
 virus_scans            | t           |        6 | t
 vuln_findings          | t           |        5 | t
(44 rows)

